listing_id,listing_date,city,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,waterfront
1569,2024-04-27,Bellevue,"$872,000",5.0,3.0,3020,7590.0,3.0,2.0,1945.0,0
1363,2024-05-12,Seattle,"$714,000",2.0,2.0,2360,2620.0,1.0,3.0,1919.0,1
3295,2024-02-06,Seattle,"$394,000",2.0,1.5,1730,15900.0,1.5,4.0,1919.0,0
2529,2024-01-05,Seattle,"$459,000",3.0,2.0,1870,14100.0,2.0,,1978.0,0
1378,2024-02-23,Bellevue,"$386,000",3.0,2.5,1590,15270.0,2.0,3.0,1920.0,0
2369,2024-02-05,Seattle,"$644,000",4.0,3.5,2790,4700.0,1.5,4.0,1996.0,0
1848,2024-04-02,Redmond,"$597,000",4.0,3.0,2170,12550.0,1.5,4.0,1950.0,0
2574,2024-03-10,Kirkland,"$739,000",2.0,2.0,2470,4780.0,2.0,4.0,2001.0,0
2364,2024-01-12,Seattle,"$341,000",2.0,1.5,1730,5080.0,1.5,2.0,1917.0,0
2337,2024-05-12,Seattle,"$492,000",3.0,2.5,1780,7810.0,1.5,3.0,2000.0,0
2707,2024-05-06,Seattle,"$376,000",2.0,2.5,1540,4850.0,3.0,3.0,1904.0,0
2531,2024-05-30,SEATTLE,"$378,000",,,1530,8450.0,1.5,5.0,1943.0,0
2476,2024-06-07, Bellevue,"$545,000",1.0,1.5,1860,7110.0,2.0,4.0,1902.0,0
2969,2024-04-20,Bellevue,"$619,000",3.0,2.5,1950,15500.0,1.0,4.0,1940.0,0
2203,2024-05-02,Kirkland,"$421,000",4.0,3.0,1540,5850.0,1.5,3.0,1923.0,0
1638,2024-06-13,Kirkland,"$638,000",3.0,3.0,2450,8480.0,2.0,3.0,2014.0,0
1808,2024-01-09,Seattle,"$297,000",1.0,2.0,1090,2860.0,2.5,3.0,2000.0,0
3985,2024-02-23,Seattle,"$437,000",3.0,2.5,1990,8700.0,1.5,4.0,,0
1837,2024-02-25,Kirkland,"$680,000",3.0,1.5,2470,2330.0,1.0,3.0,1946.0,0
2521,2024-06-03,SEATTLE,"$509,000",2.0,1.5,2190,6800.0,2.0,5.0,1956.0,0
2135,2024-06-12,Renton,"$335,000",1.0,1.0,1850,7060.0,1.0,2.0,1908.0,0
3732,2024-05-24,Seattle,"$633,000",4.0,2.0,2700,23450.0,2.0,4.0,1950.0,0
1276,2024-04-28,bellevue,"$859,000",5.0,2.0,2720,4450.0,1.0,4.0,,0
3971,2024-02-11,Bellevue,"$693,000",3.0,2.5,1990,6940.0,1.0,2.0,2015.0,0
1593,2024-02-14,Seattle,"$793,000",5.0,4.0,3290,6840.0,1.0,5.0,1908.0,0
1122,2024-01-07,Redmond,"$466,000",2.0,2.0,1620,1500.0,2.0,5.0,1941.0,0
3490,2024-04-22,Redmond,"$503,000",3.0,3.0,1790,8180.0,1.5,3.0,1994.0,0
3533,2024-04-22,Redmond,"$624,000",4.0,2.5,2250,7540.0,1.5,5.0,,0
3681,2024-01-23,Kirkland,"$890,000",4.0,2.5,3160,4160.0,1.0,4.0,2022.0,0
1486,2024-06-24,Bellevue,"$663,000",4.0,3.5,1990,7160.0,2.0,5.0,1948.0,0
2184,2024-06-02,,"$749,000",4.0,3.5,2820,,1.0,5.0,2014.0,0
3855,2024-01-11,Kirkland ,"$360,000",3.0,3.0,1380,4640.0,2.0,3.0,1948.0,0
1770,2024-01-17,Redmond,"$419,000",1.0,1.5,1470,6960.0,1.5,1.0,1918.0,0
2948,2024-05-27,Renton,"$336,000",2.0,1.5,1570,16990.0,1.0,3.0,2021.0,0
2392,2024-01-04,Kirkland,"$395,000",3.0,3.0,1370,6830.0,1.0,1.0,1942.0,0
2722,2024-01-24,Seattle,"$470,000",3.0,2.5,2000,4060.0,1.0,3.0,1979.0,0
3218,2024-03-11,Renton,"$687,000",5.0,3.0,3360,8680.0,1.5,3.0,,0
1998,2024-02-16,Seattle,"$294,000",1.0,1.0,"1,310 sqft",3370.0,1.5,5.0,1926.0,0
2041,2024-01-07,Seattle,"$877,000",5.0,2.5,3450,1830.0,1.5,4.0,1983.0,0
3301,2024-06-17,Renton,"$785,000",6.0,4.0,3890,5690.0,2.0,3.0,1904.0,0
2388,2024-04-03,Seattle,"$310,000",1.0,1.0,1480,6080.0,1.0,3.0,1952.0,0
1413,2024-01-30,Seattle,"$369,000",3.0,2.0,1750,12640.0,1.5,3.0,1903.0,0
1524,2024-01-22,Redmond,"$537,000",3.0,2.0,2060,3710.0,1.0,3.0,1985.0,0
2194,2024-04-26,Renton,"$589,000",4.0,2.5,2710,8000.0,1.0,4.0,1993.0,0
3529,2024-02-10,Kirkland,"$431,000",3.0,3.0,1800,8500.0,2.0,2.0,1932.0,0
3238,2024-01-17,Seattle,"$624,000",3.0,3.0,2450,17330.0,1.0,4.0,1997.0,0
1663,2024-06-11,Seattle,"$1,125,000",6.0,4.0,4550,2030.0,1.0,3.0,2010.0,0
1096,2024-03-26,Redmond,"$332,000",3.0,2.5,1420,3530.0,1.0,3.0,1976.0,0
3475,2024-01-14,Bellevue,"$520,000",2.0,1.0,1920,11100.0,1.0,4.0,1945.0,0
2399,2024-02-26,Redmond,"$513,000",4.0,3.0,1250,,1.0,3.0,2020.0,1
3811,2024-04-28,Seattle,"$540,000",3.0,2.5,2390,3650.0,1.0,3.0,,0
1469,2024-05-08, Seattle,"$595,000",3.0,2.5,2540,11010.0,1.5,3.0,1922.0,0
3053,2024-01-31,Bellevue,"$655,000",3.0,3.0,2200,3460.0,2.0,3.0,1958.0,0
1359,2024-06-12,Bellevue,"$583,000",4.0,3.0,2090,11780.0,1.0,3.0,1902.0,0
3332,2024-02-08,Bellevue,"$399,000",,1.5,1350,14120.0,1.0,3.0,1935.0,0
2402,2024-06-07,Seattle,"$569,000",,2.5,2330,20680.0,1.5,4.0,1982.0,0
3507,2024-01-15,Renton,"$440,000",3.0,2.5,2250,2720.0,1.5,3.0,1923.0,0
1126,2024-05-29,Bellevue,"$396,000",2.0,1.5,1500,5560.0,2.0,3.0,1952.0,0
2912,2024-02-22,Seattle,"$522,000",3.0,2.0,1870,3990.0,2.0,4.0,2020.0,0
3160,2024-05-04,Seattle,"$291,000",2.0,1.5,1190,5640.0,1.5,4.0,1905.0,0
2410,2024-03-17,Kirkland,"$470,000",3.0,3.0,1850,9220.0,1.0,3.0,1955.0,0
2581,2024-03-29,Renton,"$326,000",2.0,1.5,1460,7610.0,2.0,,1967.0,0
3231,2024-01-12,SEATTLE,"$462,000",3.0,3.0,2020,,2.0,3.0,1904.0,0
2560,2024-03-19,Renton,"$255,000",1.0,1.0,1470,10170.0,1.5,3.0,1957.0,0
2963,2024-02-11,Redmond,"$483,000",2.0,2.0,1840,3430.0,2.0,2.0,1976.0,0
1315,2024-01-03,Bellevue,"$290,000",1.0,1.0,1190,12960.0,2.0,3.0,1963.0,0
3521,2024-06-28,Seattle,"$300,000",2.0,,1330,4890.0,1.0,4.0,1927.0,0
2980,2024-05-13,Seattle,"$528,000",3.0,3.0,2150,7580.0,1.0,3.0,1960.0,0
1972,2024-06-13,Seattle,"$208,000",1.0,1.0,"1,080 sqft",18860.0,2.5,3.0,1961.0,0
2226,2024-05-26,Renton,"$510,000",4.0,3.0,2750,7710.0,1.0,4.0,1933.0,0
3800,2024-06-20,Kirkland,"$815,000",5.0,3.0,3070,31040.0,2.0,2.0,2014.0,0
1514,2024-06-06,Seattle,"$403,000",3.0,2.0,1640,,2.0,4.0,1913.0,0
3957,2024-01-30,SEATTLE,"$431,000",2.0,3.0,1750,9160.0,2.0,2.0,2010.0,0
3057,2024-04-26,Renton,"$451,000",3.0,2.0,2540,5590.0,1.0,5.0,1907.0,0
2446,2024-01-04,,"$378,000",1.0,1.5,1610,4940.0,1.5,4.0,1997.0,0
3815,2024-05-27,Seattle,"$374,000",2.0,1.0,1120,3970.0,2.0,1.0,1955.0,1
1427,2024-03-15,Seattle,"$449,000",2.0,1.5,2010,5960.0,1.0,5.0,1914.0,0
2197,2024-05-15,Seattle,"$262,000",2.0,2.5,1350,7260.0,1.0,3.0,1937.0,0
1457,2024-03-24,Renton,"$429,000",3.0,2.5,1590,4800.0,1.0,4.0,2019.0,0
2937,2024-03-26,Bellevue,"$579,000",3.0,1.5,1970,5820.0,1.0,3.0,2007.0,0
1740,2024-06-23,Bellevue,"$764,000",2.0,1.5,2320,,2.0,4.0,2007.0,0
1207,2024-05-02,Seattle,"$913,000",6.0,3.0,3790,2200.0,3.0,5.0,2015.0,0
3583,2024-04-07,Seattle,"$416,000",1.0,1.0,1650,13720.0,2.0,3.0,2050.0,0
2087,2024-05-02,Kirkland,"$481,000",3.0,2.0,1900,7630.0,1.5,,1944.0,0
1846,2024-03-20,Renton,"$397,000",2.0,1.0,1850,11000.0,1.0,4.0,1984.0,0
1986,2024-02-24,Renton,"$565,000",3.0,2.0,2050,6620.0,1.0,4.0,1917.0,1
3191,2024-03-02,Seattle,"$542,000",2.0,1.5,1850,6490.0,2.5,5.0,1989.0,0
2771,2024-02-10,Redmond,"$595,000",3.0,3.0,2090,4070.0,1.0,3.0,1943.0,0
3189,2024-01-29,Seattle,"$211,000",2.0,2.0,1160,10330.0,1.5,3.0,1920.0,0
1376,2024-03-12,Seattle,"$371,000",3.0,2.0,1340,,1.5,4.0,2013.0,0
1841,2024-04-26,Seattle,"$540,000",3.0,2.5,2300,17720.0,1.0,4.0,1935.0,0
2430,2024-03-26, Bellevue,"$500,000",2.0,1.5,1670,8080.0,2.5,3.0,1903.0,0
1326,2024-01-29,Redmond ,"$355,000",1.0,1.0,1400,22760.0,1.5,4.0,2007.0,0
2915,2024-01-21,Seattle,"$591,000",4.0,3.0,2370,6120.0,2.0,2.0,1957.0,0
1417,2024-03-12,Seattle,"$373,000",2.0,1.5,1380,3200.0,2.0,4.0,1975.0,0
3526,2024-01-12,Seattle,"$618,000",3.0,2.5,2360,3230.0,1.0,3.0,2018.0,0
3016,2024-03-24,Bellevue,"$550,000",2.0,1.0,1880,,2.0,4.0,1997.0,0
2764,2024-01-27,Seattle,"$573,000",3.0,,2440,7230.0,1.0,2.0,1956.0,0
1706,2024-05-04,Redmond,"$492,000",3.0,1.5,2070,2270.0,1.5,4.0,1978.0,0
3919,2024-04-16,Seattle,"$772,000",4.0,2.5,2770,11880.0,1.5,4.0,1963.0,0
3445,2024-01-31,,$0,2.0,2.0,1700,1500.0,1.5,3.0,1992.0,0
3785,2024-06-09, Seattle,"$481,000",3.0,3.5,1620,1680.0,2.0,5.0,1935.0,0
2083,2024-03-19,Renton,"$345,000",2.0,1.5,1830,5670.0,2.0,3.0,1979.0,0
2468,2024-02-25,Seattle,"$497,000",3.0,1.5,1870,2530.0,1.0,4.0,2015.0,0
3606,2024-04-07,Seattle,"$612,000",4.0,2.5,2320,23210.0,2.0,4.0,1963.0,0
3655,2024-05-11,Bellevue,"$753,000",3.0,2.0,2500,,1.5,3.0,2017.0,0
2958,2024-06-01,,"$556,000",3.0,2.0,2310,6120.0,2.0,4.0,1944.0,0
2958,2024-06-01,,"$556,000",3.0,2.0,2310,6120.0,2.0,4.0,1944.0,0
3384,2024-06-25,Seattle,"$580,000",4.0,1.5,2480,6800.0,1.0,3.0,1983.0,0
1420,2024-03-31,Renton,"$560,000",5.0,3.5,"2,540 sqft",3420.0,1.0,4.0,1966.0,0
2850,2024-05-08,Kirkland,"$437,000",2.0,2.5,1410,6250.0,1.5,4.0,1993.0,0
3797,2024-05-25,Redmond,"$316,000",1.0,2.0,1190,17780.0,1.0,3.0,1987.0,0
3146,2024-04-09,renton,"$497,000",4.0,3.0,2560,2070.0,1.0,3.0,1953.0,0
3004,2024-03-25,Redmond,"$602,000",3.0,2.0,2080,12520.0,2.5,3.0,2020.0,0
1362,2024-06-08,Seattle,"$277,000",1.0,1.0,1550,,3.0,4.0,1989.0,0
2003,2024-05-14,Seattle,"$461,000",3.0,2.5,2040,6660.0,3.0,4.0,1943.0,0
2904,2024-03-07, Seattle,"$205,000",1.0,1.0,940,,2.0,,1932.0,0
2959,2024-06-23,,"$305,000",1.0,1.0,1140,,2.0,4.0,2015.0,0
2721,2024-01-21,Seattle,"$382,000",2.0,1.5,1620,12770.0,2.5,3.0,1931.0,0
1613,2024-03-08,Renton,"$299,000",2.0,2.0,1510,6130.0,1.0,2.0,1937.0,0
2258,2024-06-07,Kirkland,"$639,000",,2.0,2700,,1.5,3.0,1924.0,0
3107,2024-06-02,Kirkland,"$326,000",3.0,2.5,1280,4830.0,1.0,3.0,1978.0,0
2539,2024-04-01,Kirkland,"$474,000",2.0,2.0,1460,5630.0,2.0,5.0,2017.0,0
2421,2024-06-10,Kirkland,"$259,000",2.0,1.5,1140,2620.0,2.5,4.0,1936.0,0
1394,2024-01-05,Redmond,"$631,000",3.0,2.5,2330,9140.0,1.0,3.0,1985.0,0
2124,2024-06-01,Seattle,"$675,000",5.0,3.0,2570,8390.0,1.0,5.0,1993.0,0
3097,2024-02-06,Seattle,"$167,000",1.0,2.0,980,8190.0,1.5,2.0,1974.0,0
3308,2024-06-03,Bellevue,"$88,500,000",3.0,2.0,"2,560 sqft",,2.0,3.0,2023.0,0
1387,2024-01-24,,"$683,000",4.0,1.5,2490,15050.0,1.5,4.0,1986.0,0
3060,2024-06-14,Seattle,"$408,000",4.0,2.0,1560,5820.0,1.0,4.0,1951.0,0
3072,2024-06-24,Bellevue,"$678,000",3.0,2.5,"2,060 sqft",7300.0,2.0,4.0,2011.0,0
3056,2024-01-29,Bellevue,"$434,000",,2.0,1600,,1.0,3.0,1966.0,0
1878,2024-06-26,Seattle,"$499,000",3.0,2.0,2090,6070.0,1.0,3.0,1959.0,0
1708,2024-04-23,Kirkland,"$274,000",2.0,1.5,1100,6260.0,1.0,4.0,2002.0,0
2052,2024-06-16,Seattle,"$337,000",1.0,1.5,1430,7590.0,1.0,2.0,2016.0,0
1667,2024-06-19,Kirkland,"$814,000",5.0,2.5,3100,42370.0,2.0,2.0,1945.0,0
2123,2024-01-05,Kirkland,"$501,000",2.0,1.5,2170,5000.0,1.0,3.0,1961.0,0
1639,2024-01-18,Kirkland,"$644,000",4.0,2.0,2500,9420.0,1.0,3.0,1987.0,0
1774,2024-01-02,kirkland,"$530,000",2.0,2.0,1790,25350.0,1.0,3.0,2001.0,0
2767,2024-02-01,Renton,"$409,000",3.0,3.0,1910,4110.0,1.0,3.0,2021.0,0
3952,2024-01-16,Kirkland,"$662,000",4.0,3.5,2500,2440.0,1.5,5.0,1900.0,0
3748,2024-03-23,Seattle,"$381,000",2.0,2.0,1580,3870.0,1.0,4.0,1984.0,0
3888,2024-02-04,,"$268,000",3.0,2.0,1660,3000.0,1.0,3.0,1926.0,0
3659,2024-04-19,seattle,"$739,000",2.0,2.0,2020,12110.0,1.5,4.0,2019.0,1
3514,2024-01-23,SEATTLE,"$255,000",3.0,2.5,1080,4450.0,1.0,4.0,1953.0,0
2814,2024-04-17,Seattle,"$566,000",4.0,2.5,2470,15440.0,2.0,,1923.0,0
1111,2024-05-30,Bellevue,"$513,000",,1.0,1600,9130.0,1.5,3.0,2009.0,0
1071,2024-05-09,Seattle,"$241,000",0.0,1.0,1110,3190.0,3.0,4.0,1966.0,0
3744,2024-04-20,Kirkland,"$253,000",1.0,1.0,1070,9230.0,1.5,3.0,1953.0,0
2947,2024-05-16,Seattle,"$276,000",2.0,1.0,1290,17150.0,3.0,3.0,1925.0,0
1260,2024-04-03,Redmond,"$551,000",2.0,,1960,,2.0,4.0,2003.0,0
2263,2024-06-13,Seattle,"$553,000",3.0,2.5,1420,3510.0,2.5,5.0,2014.0,1
3762,2024-06-25,Renton,"$461,000",4.0,2.5,2390,,1.5,3.0,1957.0,0
3157,2024-02-16,Seattle,"$941,000",5.0,3.5,3870,22600.0,3.0,4.0,1965.0,0
2823,2024-01-13,Bellevue,"$401,000",2.0,1.5,1540,1500.0,1.0,2.0,1920.0,0
1035,2024-01-18,Bellevue,"$426,000",2.0,1.5,1500,10730.0,1.0,3.0,1938.0,0
1922,2024-05-11,Kirkland,"$477,000",3.0,2.5,1960,9340.0,2.0,3.0,1944.0,0
2903,2024-04-05,Kirkland,"$397,000",1.0,1.0,1470,5820.0,2.0,3.0,1953.0,0
3890,2024-06-24,Seattle,"$491,000",3.0,1.5,2000,,1.5,3.0,2003.0,0
2354,2024-03-25,Seattle,"$410,000",2.0,2.5,1480,7720.0,1.5,3.0,2020.0,0
3281,2024-03-13,Bellevue,"$513,000",2.0,1.5,1630,10010.0,2.0,3.0,2023.0,0
3756,2024-04-05,Kirkland,"$607,000",3.0,3.0,2350,14750.0,1.0,3.0,1917.0,0
2865,2024-03-19,Redmond,"$691,000",3.0,2.0,2560,,2.0,4.0,1906.0,0
1730,2024-01-18,Bellevue,"$468,000",1.0,1.0,1640,6220.0,2.0,4.0,1944.0,0
1031,2024-03-17,Kirkland ,"$388,000",2.0,1.0,1470,5940.0,2.0,3.0,1958.0,0
1743,2024-06-14,Renton,"$755,000",5.0,3.0,3790,5180.0,2.5,3.0,1999.0,0
1319,2024-06-21, Seattle,"$449,000",3.0,2.0,1870,4340.0,1.0,3.0,1916.0,0
2828,2024-02-24,Bellevue,"$557,000",3.0,2.5,2020,8570.0,1.0,3.0,1942.0,0
1119,2024-06-03,Bellevue,"$420,000",2.0,1.5,1370,7820.0,1.5,4.0,1944.0,0
3468,2024-04-07,Redmond,"$502,000",2.0,,1700,17690.0,1.0,5.0,2021.0,0
1695,2024-04-05,Renton,"$274,000",2.0,2.0,1370,16330.0,2.0,1.0,2008.0,0
2488,2024-05-04,Bellevue,"$918,000",4.0,3.0,2850,7320.0,2.0,2.0,2015.0,0
1803,2024-01-09,Renton,"$391,000",3.0,1.5,1630,2870.0,2.0,4.0,1987.0,0
2698,2024-05-02,KIRKLAND,"$343,000",2.0,2.0,1030,4710.0,3.0,3.0,1940.0,0
2011,2024-05-03,Redmond,"$697,000",4.0,2.5,2430,6460.0,2.0,3.0,2003.0,0
2268,2024-01-18,Renton,"$261,000",3.0,1.5,1430,2900.0,1.0,3.0,1968.0,0
1297,2024-04-07,Renton,"$208,000",2.0,1.5,1140,4670.0,2.0,3.0,2015.0,0
1281,2024-01-16,SEATTLE,"$387,000",2.0,2.5,1330,7870.0,1.0,2.0,1977.0,0
3621,2024-03-31,Renton,"$265,000",3.0,2.5,1520,8260.0,1.0,3.0,1905.0,0
2597,2024-02-22,Seattle,"$824,000",6.0,3.5,3140,5380.0,1.5,5.0,2023.0,0
3305,2024-05-07,Bellevue,"$569,000",3.0,2.0,2140,6020.0,1.0,4.0,1938.0,0
1430,2024-06-18,Kirkland,"$561,000",3.0,4.0,2050,1710.0,2.0,1.0,2010.0,0
2687,2024-03-26,Bellevue,"$673,000",4.0,3.0,2340,15110.0,2.0,4.0,1929.0,0
3698,2024-03-05,Seattle,"$214,000",1.0,1.0,950,20990.0,1.0,4.0,2002.0,0
3883,2024-01-06,Bellevue,"$488,000",2.0,,1640,5320.0,1.5,3.0,1996.0,0
3373,2024-02-27,Seattle,"$872,000",5.0,3.5,3570,4060.0,2.0,3.0,1986.0,0
3140,2024-04-13,Kirkland,"$966,000",4.0,2.5,3710,5160.0,1.5,3.0,1979.0,0
1080,2024-03-26,Kirkland,"$346,000",3.0,2.0,1640,6460.0,2.0,3.0,1961.0,0
3440,2024-06-12,Kirkland,"$531,000",3.0,1.5,1860,8910.0,2.0,5.0,1974.0,0
2538,2024-03-04,Kirkland,"$631,000",3.0,2.5,2110,7910.0,2.0,3.0,1989.0,0
1677,2024-02-01,Renton,"$360,000",2.0,1.5,1880,8130.0,2.0,2.0,1957.0,0
2105,2024-06-15,Seattle,"$463,000",2.0,1.5,1890,4490.0,1.0,,1907.0,0
3874,2024-05-09,Seattle,"$319,000",1.0,1.0,1360,3590.0,2.0,4.0,2014.0,0
2612,2024-04-08,Kirkland,"$622,000",2.0,1.5,2320,8710.0,1.0,5.0,1990.0,0
1890,2024-01-05,Redmond,"$552,000",4.0,2.5,1860,11970.0,2.0,3.0,2017.0,0
3438,2024-03-30,Redmond,"$691,000",4.0,2.5,2470,2940.0,2.0,3.0,1994.0,0
2601,2024-01-13,Renton,"$298,000",3.0,1.0,1120,35450.0,1.5,4.0,2017.0,0
1671,2024-04-15,Seattle ,"$722,000",5.0,3.5,3170,11840.0,1.5,3.0,1900.0,0
3602,2024-01-26,Redmond,"$589,000",3.0,2.0,"2,150 sqft",15220.0,2.0,4.0,1925.0,0
1204,2024-03-31,Seattle,"$758,000",3.0,2.0,2960,,1.0,5.0,2020.0,0
1548,2024-02-01,Seattle,"$520,000",2.0,1.5,1600,9550.0,1.5,4.0,1910.0,1
2603,2024-04-15,Redmond,"$580,000",3.0,3.0,2160,13380.0,1.5,5.0,1928.0,0
1705,2024-02-06,Seattle,"$772,000",4.0,2.5,3030,6410.0,1.0,2.0,1943.0,0
1357,2024-01-19,Kirkland,"$313,000",1.0,1.0,1330,22220.0,2.5,3.0,1928.0,0
1187,2024-02-03,Bellevue,"$348,000",1.0,1.0,1230,8710.0,2.0,1.0,1981.0,0
2006,2024-05-12,Bellevue,"$595,000",3.0,2.0,1950,12400.0,2.0,4.0,1967.0,0
1975,2024-04-02,Seattle,"$221,000",2.0,2.5,1320,11330.0,3.0,3.0,1968.0,0
2069,2024-01-05,Seattle,"$647,000",3.0,2.5,2600,7900.0,2.0,3.0,2019.0,0
3765,2024-04-08,Seattle,"$367,000",2.0,1.5,1650,7590.0,2.0,5.0,,0
2950,2024-01-12,Renton,"$353,000",2.0,2.0,1530,6110.0,1.5,3.0,1994.0,0
1421,2024-03-04,Redmond,"$360,000",2.0,2.0,1430,8820.0,1.0,4.0,2022.0,0
1451,2024-06-03,Seattle,"$380,000",1.0,1.0,1500,5340.0,1.0,3.0,2004.0,0
2413,2024-05-22,Kirkland,"$764,000",2.0,1.5,2150,7340.0,2.0,5.0,1962.0,1
3087,2024-05-07,Bellevue,"$862,000",3.0,3.0,2590,7340.0,2.0,3.0,1944.0,0
2682,2024-01-17,Kirkland,"$460,000",1.0,,1570,3790.0,1.5,4.0,1999.0,0
1428,2024-02-22,Kirkland,"$582,000",3.0,2.0,1860,8190.0,2.0,5.0,2009.0,0
3610,2024-03-05,Bellevue,"$642,000",3.0,3.0,2350,,1.5,3.0,1979.0,0
1173,2024-01-28,Seattle,"$458,000",3.0,2.5,1930,10230.0,1.0,4.0,1954.0,0
3983,2024-05-01,Seattle,"$525,000",3.0,2.5,2120,5080.0,1.0,3.0,,0
1963,2024-01-16,Seattle,"$299,000",1.0,2.0,1090,6920.0,2.0,3.0,1980.0,0
2101,2024-05-20,Seattle,"$633,000",,3.5,2340,12850.0,1.0,4.0,1939.0,0
2675,2024-01-23,Kirkland,"$808,000",3.0,3.0,2990,,2.0,3.0,1904.0,0
1796,2024-06-01,Seattle,"$455,000",4.0,2.5,2100,7260.0,1.5,3.0,,0
3283,2024-06-14,Seattle,"$370,000",2.0,1.0,1480,6380.0,2.0,2.0,2010.0,0
3884,2024-02-16,Seattle,"$514,000",3.0,2.0,2090,9370.0,2.0,4.0,1970.0,0
1445,2024-02-19,Seattle,"$382,000",3.0,2.0,1720,11310.0,1.0,3.0,1932.0,0
1965,2024-01-11,Renton,"$701,000",4.0,3.0,3560,5750.0,3.0,2.0,2022.0,0
2510,2024-02-15,Kirkland,"$478,000",3.0,1.5,1880,7430.0,2.0,3.0,1942.0,0
1191,2024-05-08,Renton,"$676,000",3.0,2.5,2300,10070.0,2.0,2.0,2015.0,1
2225,2024-03-01,Seattle,$0,5.0,3.5,3040,,2.0,3.0,1914.0,0
1416,2024-02-03,Seattle,"$595,000",4.0,3.0,2300,5620.0,1.0,4.0,1932.0,0
3718,2024-05-25, Renton,"$393,000",3.0,1.5,2180,9980.0,2.0,4.0,1906.0,0
1620,2024-01-31,Seattle,"$644,000",4.0,4.5,2730,10080.0,2.0,3.0,1935.0,0
1855,2024-06-01,Seattle,"$485,000",2.0,2.0,1930,7000.0,1.0,3.0,1951.0,0
